standard_number,title,description,status,version_number,effective_date,reviewed_year,source_name,source_url,authoritative,bis_url
IS 413:1974,IS 413:1974,IS 413:1974,published,,,2025,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IklmSzRGSmEzT1FVNWZtSmpUTFh1bmc9PSIsInZhbHVlIjoidStvUWo0QVlOUFd0SUZpN05OUUowZz09IiwibWFjIjoiOWVjZTBmODc5OTg5MjRhYjJlMmUzMzU0ZTc4Y2UxNjcyZGRmMDc4N2JlNzUyNWI3MmRiYmRjZTJlNWJiZWE3OSIsInRhZyI6IiJ9&standardNumber=IS%20413:1974
IS 415:2022,IS 415:2022,IS 415:2022,published,,,2026,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IlkzS3JjNFdZdzZ3Qm9UMUJqSitCYXc9PSIsInZhbHVlIjoiV3dtQ0JVRnZDVzRFRWRmbE1oeTBHQT09IiwibWFjIjoiZTBjYzQ2N2ViZWZkY2Y4MmRiODA3YWUxYjVjOThkZGE5ZGM0ZWQyYjNmOTYxNzFjODBmYmY3ODE5NzUyNTQ5ZiIsInRhZyI6IiJ9&standardNumber=IS%20415:2022
IS 416:1983,IS 416:1983,IS 416:1983,published,,,2022,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImFlS0Ztc3VnL1R1bytQUVE5ZFArTWc9PSIsInZhbHVlIjoidkpVcDVlRTVlZEtxV3NRcW1XaVl4UT09IiwibWFjIjoiMmJhMGQ1OWQyNDFhZjg2ZmRjMzBkN2Q4MTk3YTI4MzA4YTk2YWVlODU3ODAyZDhkZTRiMWU3MWRlOTVlMzRmOSIsInRhZyI6IiJ9&standardNumber=IS%20416:1983
IS 417,IS 417,IS 417,published,,,2022,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6InR6L3BGT0lJZ1NCemdmVHd1RnlxYVE9PSIsInZhbHVlIjoiOVlpWGhyL2E4QTJwaE0vNkgvSjkyQT09IiwibWFjIjoiZTQzZjQxMjU3Y2VlNjQ2NWZiN2RiNWUzOTBmZDc4MjUwYTFlYzU3NDJkZTRlYjYzY2I1MTkzMmQwNmQ3MDFiMyIsInRhZyI6IiJ9&standardNumber=IS%20417%20(Part%201):2003
IS 418:2004,IS 418:2004,IS 418:2004,published,,,2025,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IjlWMTZ2Z0piWERNOTRXMDZtbVlEaEE9PSIsInZhbHVlIjoic2U5TzhlOHpFYy81Q05ucFcxVHlLUT09IiwibWFjIjoiZTY2MDMzZjUwZTA2NWZjZGUzNGFlMDQzMWY1MTgxZTI4ZTUwODA3NzAzNmRjYmU1OWIzMWZkZGFjZDc3NjhhOCIsInRhZyI6IiJ9&standardNumber=IS%20418:2004
IS 419:2023,IS 419:2023,IS 419:2023,published,,,2023,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IlQxTFRlMlhJZEZ0d3NPMjRaUnB0SXc9PSIsInZhbHVlIjoiVUNMYmp0TjQ5cnIxUE5GVTBheHdxQT09IiwibWFjIjoiYjVmMTZjMGJiNGI3YTRhODVjZWQ1ZTQxMjk3ZGVjODk3ZTg3MjBmZTcxNDJhZTI3ODM1ZmM5OGNkZWU2Nzg3NCIsInRhZyI6IiJ9&standardNumber=IS%20419:2023
IS 422:1981,IS 422:1981,IS 422:1981,published,,,2026,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IndnRnZVcHIrTEhwd2orME5TSmtiSFE9PSIsInZhbHVlIjoiQnFWek0wdG5ZalV0c3JvQ3RRY1lwZz09IiwibWFjIjoiMDdlY2E4Zjk3NzFkNzlmZGE2YWQ3ZDRiYjQ2Y2ZiNmRlMmI5MWNjMjQ5Y2VjYTk1ZTIzMWUxMWRjMTIwOGYyYiIsInRhZyI6IiJ9&standardNumber=IS%20422:1981
IS 423:1961,IS 423:1961,IS 423:1961,published,,,2024,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImltMkRnUGQwNitwUzdFUzNTdUtWN3c9PSIsInZhbHVlIjoiOTh5czlIeEltWTQ1aEZxUFFZdU1adz09IiwibWFjIjoiNmY0MWUwMTI5MTY1NTYyNGY3ZmJiYTdiN2I4YWIxNmZlZGQ0NGFiMjk5YmU0ZDAzZjk1MzZiNGUzYjg2MGY2NyIsInRhZyI6IiJ9&standardNumber=IS%20423:1961
IS 427:2013,IS 427:2013,IS 427:2013,published,,,2023,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Ik9ZZE84akhHMVlnRzB6MGQyNUN0a3c9PSIsInZhbHVlIjoiQkg3dE1KV2sxSERISG1DcmZzQkV0QT09IiwibWFjIjoiNTc5YmI4Y2FkMDA1NThkZjM0YmIyMmY0ODc2MGI3ZmVlYjBmNzQ1YjIwZmY3NzdiMTBlM2QxNDZjNzUzY2U5MyIsInRhZyI6IiJ9&standardNumber=IS%20427:2013
IS 428:2013,IS 428:2013,IS 428:2013,published,,,2023,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IkZ2T3hjSUs0b2lxY2JXYkNWZUs1bFE9PSIsInZhbHVlIjoiTUJUZTJEeEV5S1p6elJrZVNOclhDQT09IiwibWFjIjoiNzg2ZjFjZGMwMzk2YzQ4YmUwZTA0MDEwYmMyOTk1YTY5OTA4Njk2MjM0OWQ1NzljMzY1NWM1YzY0Nzg0YzgxOCIsInRhZyI6IiJ9&standardNumber=IS%20428:2013
